feature_idx,feature_name,target,feature_type,pearson_r,pearson_p,spearman_r,spearman_p,n_valid,pearson_significant,spearman_significant
81,left_second_finger_mcp_x,depth,raw_mean,0.011457353717357517,0.8320715234406127,0.03028379828205366,0.5750813356373078,345,False,False
81,left_second_finger_mcp_x,depth,raw_std,0.08476650230384421,0.11604717640938843,0.03516993157752054,0.5149928264879117,345,False,False
81,left_second_finger_mcp_x,left_right,raw_mean,-0.053222417076494034,0.32429333561744667,-0.009703881267623617,0.8574731346022122,345,False,False
81,left_second_finger_mcp_x,left_right,raw_std,-0.037723217883049484,0.48493747761550304,-0.10822942814698679,0.04454974396063484,345,False,False
82,left_second_finger_mcp_y,angle,raw_mean,0.17575671360712236,0.001044554336735863,0.16335110327805755,0.002337896934439841,345,True,True
82,left_second_finger_mcp_y,angle,raw_std,-0.18035697965623648,0.0007641509488464815,-0.29586244428441055,2.126880447114141e-08,345,True,True
82,left_second_finger_mcp_y,depth,raw_mean,0.00127170125051701,0.9812234514899204,0.005359112167399484,0.9209949224470602,345,False,False
82,left_second_finger_mcp_y,depth,raw_std,0.014015955678962674,0.7953245104934095,-0.05241181599732878,0.33172734756201044,345,False,False
82,left_second_finger_mcp_y,left_right,raw_mean,0.045305738434926246,0.40152906733300153,0.017312161361660264,0.7486529037141688,345,False,False
82,left_second_finger_mcp_y,left_right,raw_std,0.09084905451571083,0.09202565907766481,0.05929534351221274,0.27205969452083084,345,False,False
83,left_second_finger_mcp_z,angle,raw_mean,-0.004508186638158664,0.9335077455722707,-0.03432697588269513,0.525122840388471,345,False,False
83,left_second_finger_mcp_z,angle,raw_std,-0.29172537684693584,3.401426921437697e-08,-0.4010463686480286,9.204148910172158e-15,345,True,True
83,left_second_finger_mcp_z,depth,raw_mean,0.1308608890051926,0.01500411394878217,0.1832773403021291,0.0006241614674553685,345,True,True
83,left_second_finger_mcp_z,depth,raw_std,0.1795108786368214,0.0008098286208097368,0.19349891490393492,0.0003000405164643879,345,True,True
83,left_second_finger_mcp_z,left_right,raw_mean,0.011016044558732029,0.8384491976099013,-0.016959728644417776,0.7536028404464123,345,False,False
83,left_second_finger_mcp_z,left_right,raw_std,-0.009478338091343443,0.8607517320641097,0.011244532416298908,0.8351458093945505,345,False,False
84,left_second_finger_pip_x,angle,raw_mean,0.12851697926545302,0.01692441021585589,0.251724922174064,2.1897074814652277e-06,345,False,True
84,left_second_finger_pip_x,angle,raw_std,-0.2699421483393355,3.5699516609549976e-07,-0.21580191703330928,5.3106656135425204e-05,345,True,True
84,left_second_finger_pip_x,depth,raw_mean,0.08401502379758782,0.11932779609037493,0.06238806111937713,0.24779269172623855,345,False,False
84,left_second_finger_pip_x,depth,raw_std,0.11290875626505399,0.03605704383164013,0.07150324214124046,0.18517438667999672,345,False,False
84,left_second_finger_pip_x,left_right,raw_mean,-0.039162396999227383,0.4684228994914607,-0.0047663164330223814,0.9297100865098936,345,False,False
