target,config,lopo_mse,vs_baseline
depth,right_wrist_f180,0.01660788018980883,-0.729414953264459
depth,right_elbow_f100,0.02148491450158705,-30.309397908215658
depth,right_elbow_f110,0.017981867188890412,-9.062862990528533
depth,right_elbow_f120,0.01862755876870131,-12.9790843463709
depth,right_elbow_f130,0.029100578823131572,-76.49960417309235
depth,right_elbow_f140,0.01779646034897375,-7.938341239426351
depth,right_elbow_f150,0.018438516338576332,-11.832512166766831
depth,right_elbow_f160,0.01963450080231449,-19.086346728956364
depth,right_elbow_f170,0.018742462538236287,-13.675993846493938
depth,right_elbow_f180,0.01781729398555851,-8.064700533962913
depth,right_shoulder_f100,0.018089099827773274,-9.71324587233626
depth,right_shoulder_f110,0.01961814609874547,-18.987152870172856
depth,right_shoulder_f120,0.017640275805814717,-6.991057330983534
depth,right_shoulder_f130,0.016305740452112395,1.1031102494986404
depth,right_shoulder_f140,0.017709843573268488,-7.412996822064585
depth,right_shoulder_f150,0.022603789850113576,-37.0955535147491
depth,right_shoulder_f160,0.021441798054072952,-30.047889847986315
depth,right_shoulder_f170,0.019546799389628947,-18.55442381709611
depth,right_shoulder_f180,0.01876898226239505,-13.836840159732242
depth,left_wrist_f100,0.02022645979838631,-22.676671482577003
depth,left_wrist_f110,0.01864911869320889,-13.109848691806006
depth,left_wrist_f120,0.027871305905640742,-69.04386988421383
depth,left_wrist_f130,0.021661201056514003,-31.3786036911918
depth,left_wrist_f140,0.022025258369867677,-33.58666876418501
depth,left_wrist_f150,0.02137840376855339,-29.66339349933826
depth,left_wrist_f160,0.02099634267582693,-27.346132662500295
depth,left_wrist_f170,0.023186906663971663,-40.632249037479305
depth,left_wrist_f180,0.022399066307197426,-35.85387291075741
depth,left_elbow_f100,0.02466481660699433,-49.59600613428427
depth,left_elbow_f110,0.016657702921493107,-1.0315976855923514
depth,left_elbow_f120,0.027381794991412703,-66.07490891870272
depth,left_elbow_f130,0.017477129759556283,-6.001550807349379
depth,left_elbow_f140,0.02236530423270216,-35.6491005995022
depth,left_elbow_f150,0.026168425514642442,-58.715631508198705
depth,left_elbow_f160,0.020766741308626564,-25.953564127188095
depth,left_elbow_f170,0.021202106070560518,-28.59412013190836
depth,left_elbow_f180,0.01914496305578246,-16.11722302128598
depth,left_shoulder_f100,0.018864789451883406,-14.417925887421951
depth,left_shoulder_f110,0.020033163203377162,-21.504297121418166
depth,left_shoulder_f120,0.016691609032539446,-1.237243601266401
depth,left_shoulder_f130,0.015929562257519948,3.3846903805212913
depth,left_shoulder_f140,0.018992893604075228,-15.194897792077455
depth,left_shoulder_f150,0.0224952337597021,-36.43714369050966
depth,left_shoulder_f160,0.022435534201196712,-36.075056444425954
depth,left_shoulder_f170,0.020219147758101387,-22.632322804022166
depth,left_shoulder_f180,0.019318382287865126,-17.169038038596295
depth,right_hip_f100,0.020347685747371627,-23.41192599904072
depth,right_hip_f110,0.02025630344519901,-22.85767791140226
depth,right_hip_f120,0.017269368715223304,-4.741447277786218
depth,right_hip_f130,0.018522446144778413,-12.341559689945871
depth,right_hip_f140,0.02023671666830981,-22.738881017739697
depth,right_hip_f150,0.02765766040698867,-67.74807621032718
depth,right_hip_f160,0.024447858807007793,-48.28012282994773
depth,right_hip_f170,0.021289167941706866,-29.122164123379928
depth,right_hip_f180,0.027839390128448455,-68.85029565754459
depth,left_hip_f100,0.019376344152366592,-17.520585896246168
depth,left_hip_f110,0.019821014750855466,-20.217583268625322
depth,left_hip_f120,0.017573960711324638,-6.588845814871129
depth,left_hip_f130,0.018413566868212477,-11.681189690663764
depth,left_hip_f140,0.019032820565154665,-15.437061113610891
depth,left_hip_f150,0.02661181520822104,-61.4048599901025
depth,left_hip_f160,0.023492188212399196,-42.48382981827046
depth,left_hip_f170,0.020467146145119318,-24.13647216855085
depth,left_hip_f180,0.028783532549387786,-74.5766684761621
depth,right_knee_f100,0.02487394576682555,-50.864407500305276
depth,right_knee_f110,0.020523395705132532,-24.477634629187243
depth,right_knee_f120,0.020570911758042782,-24.765826990634725
depth,right_knee_f130,0.01768182790347976,-7.243077362441194
depth,right_knee_f140,0.01838999230542028,-11.538206246015955
depth,right_knee_f150,0.02970682449773975,-80.17657988722964
depth,right_knee_f160,0.02620084645869272,-58.91226965160372
depth,right_knee_f170,0.01920791298477546,-16.499024277457462
depth,right_knee_f180,0.021661370132065913,-31.379629161103196
depth,right_ankle_f100,0.01665541452266495,-1.0177181854691808
depth,right_ankle_f110,0.016453792175757823,0.20515317519498596
depth,right_ankle_f120,0.01903079307151021,-15.42476404461153
depth,right_ankle_f130,0.01694214579659216,-2.7567886232012135
depth,right_ankle_f140,0.020677269752083106,-25.41090501340723
depth,right_ankle_f150,0.028815153465223214,-74.76845432215728
depth,right_ankle_f160,0.043801268870865016,-165.66160985917216
depth,right_ankle_f170,0.027757602720513502,-68.35424211803947
depth,right_ankle_f180,0.02691125078341156,-63.220984020407315
depth,neck_f100,0.018439167913325966,-11.836464070476326
depth,neck_f110,0.019077890011795575,-15.71041442183093
depth,neck_f120,0.016660755006475698,-1.0501090627922314
depth,neck_f130,0.015888000874584914,3.636766728607151
depth,neck_f140,0.017892553706816923,-8.52116262336054
depth,neck_f150,0.022705798509244778,-37.714252134742644
depth,neck_f160,0.023090665379904802,-40.04853045764787
depth,neck_f170,0.020007570273457388,-21.349071961536488
depth,neck_f180,0.01914860402648027,-16.139306083305986
depth,nose_f100,0.02034074059399987,-23.369802547528398
depth,nose_f110,0.025125749812996027,-52.3916387883285
depth,nose_f120,0.01873311077274967,-13.619273912614297
depth,nose_f130,0.015795473814454914,4.1979579539605005
depth,nose_f140,0.017760647512085167,-7.721130730536889
depth,nose_f150,0.023221603920282875,-40.84269337406939
depth,nose_f160,0.023397765062181563,-41.911138507232295
depth,nose_f170,0.018744672011344974,-13.689394649669866
depth,nose_f180,0.018320381086735206,-11.116003216358141
depth,mid_hip_f100,0.020286556315246146,-23.041166343741455
depth,mid_hip_f110,0.019938093500867386,-20.927684368668
