target,config,lopo_mse,vs_baseline
angle,left_wrist_f120_vel5,0.07962034627117803,-212.37730539570867
angle,left_wrist_f120_vel10,0.08960183108197899,-251.53801588077332
angle,left_wrist_f140_vel3,0.09781842698695518,-283.77447563667613
angle,left_wrist_f140_vel5,0.09333380464405845,-266.1797990395639
angle,left_wrist_f140_vel10,0.08742029341326676,-242.97911240338107
angle,left_wrist_f150_vel3,0.06184675349489164,-142.6455436203045
angle,left_wrist_f150_vel5,0.06267298519347106,-145.8871275083689
angle,left_wrist_f150_vel10,0.07171353468853543,-181.35623336915353
angle,left_wrist_f160_vel3,0.10672607667110962,-318.72217099419254
angle,left_wrist_f160_vel5,0.10394478249154368,-307.81022169964297
angle,left_wrist_f160_vel10,0.07959929159957665,-212.2947008619576
angle,right_knee_f120_vel3,0.03972386895093911,-55.85005245422451
angle,right_knee_f120_vel5,0.048223005641135526,-89.19501441194997
angle,right_knee_f120_vel10,0.08399178077697397,-229.52790816982235
angle,right_knee_f140_vel3,0.07090291271455862,-178.1758916627386
angle,right_knee_f140_vel5,0.07136742715908662,-179.99833752355957
angle,right_knee_f140_vel10,0.07211023014839384,-182.91260262169644
angle,right_knee_f150_vel3,0.030777137498338124,-20.74902621975044
angle,right_knee_f150_vel5,0.03377808817655711,-32.522761582501715
angle,right_knee_f150_vel10,0.05947746463015368,-133.3500292708672
angle,right_knee_f160_vel3,0.03631734563521909,-42.48511969560526
angle,right_knee_f160_vel5,0.03915567223878071,-53.62082630549334
angle,right_knee_f160_vel10,0.048161196855110854,-88.95251782744118
angle,right_wrist+right_elbow_f140,0.059931354155385703,-135.1307900120528
angle,right_wrist+right_elbow_f150,0.04638160984169164,-81.97060149570672
angle,right_wrist+right_elbow_f160,0.029300640452200617,-14.956233418695799
angle,right_wrist+right_shoulder_f140,0.09508358800525625,-273.0447856541106
angle,right_wrist+right_shoulder_f150,0.07655363546007773,-200.34557099032622
angle,right_wrist+right_shoulder_f160,0.0795656954507827,-212.16289190955507
angle,right_elbow+right_shoulder_f140,0.07462914149180815,-192.79513610511688
angle,right_elbow+right_shoulder_f150,0.08851924029380044,-247.29064935833142
angle,right_elbow+right_shoulder_f160,0.09612636320674953,-277.13594228468475
angle,right_wrist+left_wrist_f140,0.1767247752679489,-593.3505276006039
angle,right_wrist+left_wrist_f150,0.06886216602252192,-170.16935837685668
angle,right_wrist+left_wrist_f160,0.06481184868614705,-154.2786058897338
angle,right_hip+right_knee_f140,0.09180117859019599,-260.1667933280059
angle,right_hip+right_knee_f150,0.08683378394087168,-240.67803915821037
angle,right_hip+right_knee_f160,0.06339244623996798,-148.70981434115953
angle,right_shoulder+right_hip_f140,0.06703768478738284,-163.01130696576794
angle,right_shoulder+right_hip_f150,0.07342359693703285,-188.06538074494082
angle,right_shoulder+right_hip_f160,0.07336020821118149,-187.81668552693117
angle,arm_chain_f140,0.08502080509635457,-233.56511548087778
angle,arm_chain_f150,0.08996864940537067,-252.9771671128038
angle,arm_chain_f160,0.07788331085316738,-205.56233323511287
angle,body_alignment_f140,0.05378406648960502,-111.01292006473295
angle,body_alignment_f150,0.03364308771423455,-31.99310951965002
angle,body_alignment_f160,0.0559630528871076,-119.56181405004027
angle,body_alignment_f170,0.0593219407687156,-132.73985703429722
angle,right_wrist_multiframe_140,0.048201198902159154,-89.10945926581049
angle,right_wrist_multiframe_150,0.03024455856011243,-18.65954053644498
angle,right_elbow_multiframe_140,0.04142014379566156,-62.50510722377071
angle,right_elbow_multiframe_150,0.043806469355196435,-71.86746223721848
depth,right_wrist_f100,0.01867518911673212,-13.267969925766387
depth,right_wrist_f110,0.026100309868116418,-58.30249935976594
depth,right_wrist_f120,0.020233217256441612,-22.717656532366767
depth,right_wrist_f130,0.024707738054764977,-49.85633149028832
depth,right_wrist_f140,0.026207595408256967,-58.95320309605216
depth,right_wrist_f150,0.019660586514763573,-19.24456069266546
depth,right_wrist_f160,0.02142504700579046,-29.94629209595143
depth,right_wrist_f170,0.01804257019044128,-9.431036277079471
