target,config,alpha,cv_mse,pred_std,n_features
angle,right_elbow_f140_vel5,10.0,0.006845279139009142,0.13955571185407864,6
angle,right_elbow_f140_vel10,1.0,0.007200041796695627,0.14095712809599578,6
angle,right_elbow_f140_vel10,5.0,0.006974154035339247,0.1399155431821786,6
angle,right_elbow_f140_vel10,10.0,0.0068649088925537526,0.13927923806450865,6
angle,right_elbow_f150_vel5,1.0,0.0079869380303407,0.13987971372000682,6
angle,right_elbow_f150_vel5,5.0,0.007549613869575838,0.1390509784566076,6
angle,right_elbow_f150_vel5,10.0,0.007305904572996108,0.13856387986998892,6
angle,right_elbow_f150_vel10,1.0,0.008152623038038636,0.14036054321430264,6
angle,right_elbow_f150_vel10,5.0,0.007635857983555878,0.1391700866056366,6
angle,right_elbow_f150_vel10,10.0,0.007371065012914451,0.1385602584682625,6
angle,wrist+elbow_f140,1.0,0.0075010794778120555,0.14049691639157114,6
angle,wrist+elbow_f140,5.0,0.007294322768705549,0.13977344804082703,6
angle,wrist+elbow_f140,10.0,0.007204091719561149,0.13944877227458388,6
angle,wrist+elbow_f150,1.0,0.007013915218075365,0.14018835461727752,6
angle,wrist+elbow_f150,5.0,0.006968782446636986,0.1395942540584605,6
angle,wrist+elbow_f150,10.0,0.00694280712386947,0.1392862056614185,6
angle,wrist+elbow_f160,1.0,0.007374817562376568,0.13806978716221713,6
angle,wrist+elbow_f160,5.0,0.007207895395563728,0.13772550460398736,6
angle,wrist+elbow_f160,10.0,0.007147146726110846,0.13756360908511922,6
angle,both_wrists_f140,1.0,0.0071804418900352895,0.1408140291962207,6
angle,both_wrists_f140,5.0,0.007072656062104275,0.13972539115031368,6
angle,both_wrists_f140,10.0,0.007018848244473002,0.13916580821919125,6
angle,both_wrists_f150,1.0,0.006135367920676776,0.14357014131750206,6
angle,both_wrists_f150,5.0,0.006022303407836918,0.14126124873100232,6
angle,both_wrists_f150,10.0,0.006060529658547218,0.14023850185519846,6
angle,both_wrists_f160,1.0,0.0064013551990905245,0.14227780914336127,6
angle,both_wrists_f160,5.0,0.006293045849314237,0.13998674188476576,6
angle,both_wrists_f160,10.0,0.006329762391310572,0.13892148057669604,6
angle,shoulder+hip_f140,1.0,0.007440711511424036,0.1401303589491627,6
angle,shoulder+hip_f140,5.0,0.007398369321397692,0.13928028520716032,6
angle,shoulder+hip_f140,10.0,0.007318217691554779,0.13884557359288774,6
angle,shoulder+hip_f150,1.0,0.006788669960342869,0.14148245533211112,6
angle,shoulder+hip_f150,5.0,0.006896552398538172,0.13992220361082638,6
angle,shoulder+hip_f150,10.0,0.006933699060193884,0.13933573353993,6
angle,shoulder+hip_f160,1.0,0.007094987619811874,0.14044481192290129,6
angle,shoulder+hip_f160,5.0,0.007169041436658242,0.13910315387652777,6
angle,shoulder+hip_f160,10.0,0.0072072641186643575,0.13867020547364348,6
depth,right_wrist_f100,1.0,0.015673503955708858,0.06398046115139758,3
depth,right_wrist_f100,5.0,0.015150097506385221,0.05786788910825085,3
depth,right_wrist_f100,10.0,0.014924234834226863,0.05404088388494342,3
depth,right_wrist_f120,1.0,0.013171734115277191,0.07404208529754198,3
depth,right_wrist_f120,5.0,0.013014888627658662,0.07048833206934998,3
depth,right_wrist_f120,10.0,0.01291227312098194,0.06695046986841956,3
depth,right_wrist_f140,1.0,0.010788736592040202,0.08421576807352671,3
depth,right_wrist_f140,5.0,0.010792512060178878,0.07971320399171368,3
depth,right_wrist_f140,10.0,0.0108700552666386,0.07549572458330694,3
depth,right_wrist_f150,1.0,0.010503538383666204,0.0895780174606132,3
depth,right_wrist_f150,5.0,0.010418042282649658,0.08487428553389147,3
depth,right_wrist_f150,10.0,0.010408552347498793,0.08011928412076601,3
depth,right_wrist_f160,1.0,0.014326014889345538,0.06647586817721042,3
depth,right_wrist_f160,5.0,0.014255894981671029,0.06275914900825262,3
depth,right_wrist_f160,10.0,0.014227825860660515,0.05950355705467788,3
depth,right_elbow_f100,1.0,0.015251649332883276,0.06503069483252771,3
depth,right_elbow_f100,5.0,0.014993842132960955,0.0616516517879898,3
depth,right_elbow_f100,10.0,0.014798932453671174,0.058386262611975645,3
depth,right_elbow_f120,1.0,0.01347985025594756,0.07236353153773395,3
depth,right_elbow_f120,5.0,0.01332808037743393,0.06909311886240505,3
depth,right_elbow_f120,10.0,0.013215643517361096,0.0658570958422231,3
depth,right_elbow_f140,1.0,0.011158807520892645,0.0832122371299267,3
depth,right_elbow_f140,5.0,0.011220109206460107,0.07834476162491438,3
depth,right_elbow_f140,10.0,0.011317780503172871,0.07355275461404441,3
depth,right_elbow_f150,1.0,0.010189327944073233,0.08738012595239117,3
depth,right_elbow_f150,5.0,0.010148274431339808,0.08245502062621614,3
depth,right_elbow_f150,10.0,0.010186517825924144,0.07765074671471484,3
depth,right_elbow_f160,1.0,0.013819068107612761,0.07123068078589842,3
depth,right_elbow_f160,5.0,0.013719951505900482,0.06523946633448799,3
depth,right_elbow_f160,10.0,0.013731242395725736,0.06019202700115468,3
depth,right_shoulder_f100,1.0,0.014591539493454528,0.06338560496433135,3
depth,right_shoulder_f100,5.0,0.014479700145758131,0.05946510129953292,3
depth,right_shoulder_f100,10.0,0.01441389270815684,0.05565565420727243,3
depth,right_shoulder_f120,1.0,0.014567848223169717,0.062138243715786697,3
depth,right_shoulder_f120,5.0,0.014463450921908635,0.059317247732301626,3
depth,right_shoulder_f120,10.0,0.014381611184879578,0.05637153299320929,3
depth,right_shoulder_f140,1.0,0.010888396187001936,0.0809116319590203,3
depth,right_shoulder_f140,5.0,0.010934920534292339,0.07691347143232942,3
