target,participant_id,feature,delta_mse_mean,delta_mse_std,baseline_mse_mean
angle,2,azimuth_angle,0.0,0.0,0.004862185364983966
angle,2,elbow_alignment,0.0,0.0,0.004862185364983966
angle,2,elbow_height_relative,0.0,0.0,0.004862185364983966
angle,2,elevation_angle,4.878453981738288e-05,0.0001766163461174994,0.004862185364983966
angle,2,forward_position,0.0,0.0,0.004862185364983966
angle,2,guide_hand_vx,5.8938853079166034e-05,7.346271966512026e-05,0.004862185364983966
angle,2,hip_lateral_range,-2.7122947728570185e-05,3.501110858304318e-05,0.004862185364983966
angle,2,hip_vertical_velocity_max,-4.458178493037951e-06,9.83975090756628e-06,0.004862185364983966
angle,2,jerk_at_release,0.0,0.0,0.004862185364983966
angle,2,knee_bend_depth,0.0,0.0,0.004862185364983966
angle,2,knee_extension_rate_max,0.0,0.0,0.004862185364983966
angle,2,lateral_offset,-2.7919270970410208e-05,5.583854194082041e-05,0.004862185364983966
angle,2,left_wrist_z_energy,0.0,0.0,0.004862185364983966
angle,2,left_wrist_z_max,-4.630757474348409e-05,9.261514948696818e-05,0.004862185364983966
angle,2,left_wrist_z_mean,-1.3437417394235491e-05,2.6874834788470982e-05,0.004862185364983966
angle,2,left_wrist_z_min,0.0,0.0,0.004862185364983966
angle,2,left_wrist_z_q25,1.7682227272908766e-05,0.00013116899931540105,0.004862185364983966
angle,2,left_wrist_z_q75,-2.200388303858847e-05,4.2340342677704536e-05,0.004862185364983966
angle,2,left_wrist_z_range,0.0,0.0,0.004862185364983966
angle,2,left_wrist_z_std,0.00011800054661914514,0.00018169079048693644,0.004862185364983966
angle,2,mid_hip_z_energy,0.0,0.0,0.004862185364983966
angle,2,mid_hip_z_max,0.0,0.0,0.004862185364983966
angle,2,mid_hip_z_mean,0.0,0.0,0.004862185364983966
angle,2,mid_hip_z_min,0.0,0.0,0.004862185364983966
angle,2,mid_hip_z_q25,-6.429920506517521e-06,1.2859841013035041e-05,0.004862185364983966
angle,2,mid_hip_z_q75,0.0,0.0,0.004862185364983966
angle,2,mid_hip_z_range,0.0,0.0,0.004862185364983966
depth,2,acceleration_at_release,0.0,0.0,0.007815412792040472
depth,2,arm_extension_angle,-6.95680320611656e-05,0.0001391360641223312,0.007815412792040472
depth,2,arm_plane_angle,0.0,0.0,0.007815412792040472
depth,2,azimuth_angle,0.0,0.0,0.007815412792040472
depth,2,elbow_alignment,0.0,0.0,0.007815412792040472
depth,2,elbow_height_relative,0.0,0.0,0.007815412792040472
depth,2,elevation_angle,-1.2249858426753926e-05,2.4499716853507852e-05,0.007815412792040472
depth,2,forward_position,-5.61229417428144e-06,1.122458834856288e-05,0.007815412792040472
depth,2,guide_hand_vx,0.0,0.0,0.007815412792040472
depth,2,hip_lateral_range,9.635747735766558e-07,1.9271495471533117e-06,0.007815412792040472
depth,2,hip_vertical_velocity_max,0.0,0.0,0.007815412792040472
depth,2,jerk_at_release,0.00026730457664512054,0.0002834751780257716,0.007815412792040472
depth,2,knee_bend_depth,3.127669223175703e-05,4.366042789638753e-05,0.007815412792040472
depth,2,knee_extension_rate_max,-3.700220431007359e-06,7.400440862014718e-06,0.007815412792040472
depth,2,lateral_offset,-1.6282268144143795e-05,3.25645362882876e-05,0.007815412792040472
depth,2,left_wrist_z_energy,-6.77080607945588e-05,0.00012607279345994805,0.007815412792040472
depth,2,left_wrist_z_max,-6.14240468554874e-06,1.2284809371097482e-05,0.007815412792040472
depth,2,left_wrist_z_mean,-1.3870848961903409e-06,2.7741697923806818e-06,0.007815412792040472
depth,2,left_wrist_z_min,-4.752770198292005e-06,9.50554039658401e-06,0.007815412792040472
depth,2,left_wrist_z_q25,-2.4794895383522394e-07,7.637923595603145e-06,0.007815412792040472
depth,2,left_wrist_z_q75,0.0001898300624835826,0.00029657522793256446,0.007815412792040472
depth,2,left_wrist_z_range,1.8443336152901975e-05,2.7102152356398767e-05,0.007815412792040472
depth,2,left_wrist_z_std,0.0006151292552677524,0.0006884008807503589,0.007815412792040472
depth,2,mid_hip_z_energy,1.0116772611590274e-07,2.0233545223180549e-07,0.007815412792040472
depth,2,mid_hip_z_max,0.0,0.0,0.007815412792040472
depth,2,mid_hip_z_mean,0.0,0.0,0.007815412792040472
