Keypoint,Start,End,Window,Test R²,Std
right_elbow_z,100,120,20,-0.09285949230194092,0.12282116527414551
right_wrist_z,130,180,50,-0.09287875652313232,0.1376626151419418
left_hip_z,120,160,40,-0.09287903785705566,0.11691330521233921
right_shoulder_z,80,85,5,-0.09288429260253907,0.11224085757558773
left_hip_z,150,195,45,-0.092892587184906,0.11243047280946104
left_shoulder_z,160,210,50,-0.09289397001266479,0.1444413670268632
right_elbow_z,120,175,55,-0.09294026136398316,0.11442830770753748
right_hip_z,150,195,45,-0.09294815063476562,0.11284143328715031
left_shoulder_z,160,205,45,-0.0929684329032898,0.13754667776424973
right_hip_z,70,125,55,-0.09301198959350586,0.11311958737090759
left_hip_z,170,190,20,-0.0930713152885437,0.11104459942639362
right_hip_z,80,85,5,-0.09314614772796631,0.10990997493170712
right_knee_z,80,125,45,-0.09315665006637573,0.11362526988894321
left_ankle_z,70,95,25,-0.09318188667297363,0.10802148446632902
right_hip_z,120,175,55,-0.09318946838378907,0.10657879612432859
right_elbow_z,150,175,25,-0.09319634914398194,0.128066080144531
right_hip_z,140,150,10,-0.09319895505905151,0.11355118265620841
right_elbow_z,110,135,25,-0.09319925785064698,0.11126975159687126
right_hip_z,150,200,50,-0.09320472240447998,0.11162285762068211
left_knee_z,130,155,25,-0.09320472478866577,0.11737054932310036
right_hip_z,150,190,40,-0.0932048487663269,0.11548427622294198
right_elbow_z,100,155,55,-0.09321574926376343,0.1178993106689251
right_elbow_z,170,210,40,-0.09322407722473144,0.1109660626253509
left_elbow_z,100,115,15,-0.09324544668197632,0.11838092459672026
left_wrist_z,160,210,50,-0.09325280666351318,0.13288391928004328
left_ankle_z,90,105,15,-0.09329109191894532,0.10555231443467819
right_knee_z,150,155,5,-0.09329611539840699,0.11482207721142419
left_hip_z,110,140,30,-0.09330188989639282,0.1153108331068865
right_elbow_z,100,145,45,-0.0933432412147522,0.12624716206278017
right_ankle_z,160,200,40,-0.09344680786132813,0.1212466474957385
left_knee_z,120,135,15,-0.09349989891052246,0.1132233825879072
right_wrist_z,70,95,25,-0.0935023045539856,0.10993470271098246
right_shoulder_z,90,125,35,-0.09351184129714966,0.12057825192295905
right_wrist_z,150,180,30,-0.09352134704589844,0.14845449582802026
right_ankle_z,170,195,25,-0.0935406470298767,0.11275206732480236
right_wrist_z,100,150,50,-0.09355577707290649,0.12492841916426765
left_elbow_z,140,180,40,-0.0935571551322937,0.13353005422487696
right_wrist_z,90,135,45,-0.093563973903656,0.1173930903962492
right_elbow_z,160,205,45,-0.09357114791870118,0.13841734296957142
left_knee_z,60,65,5,-0.09361748933792115,0.10739566007322503
right_shoulder_z,80,90,10,-0.09364123821258545,0.11148631277148936
left_knee_z,130,150,20,-0.09365941286087036,0.11603998797629328
left_wrist_z,170,175,5,-0.09367216348648072,0.16398357442971304
right_hip_z,150,155,5,-0.09370417594909668,0.11123717386056511
right_wrist_z,160,165,5,-0.09371111392974854,0.13128788326952634
left_wrist_z,60,75,15,-0.09374387264251709,0.11419124356587351
right_ankle_z,130,160,30,-0.09378236055374145,0.12298363069307938
left_elbow_z,140,190,50,-0.09379194974899292,0.13118590722791143
right_wrist_z,100,140,40,-0.09380383729934692,0.11510046851377777
left_elbow_z,70,80,10,-0.09380757808685303,0.11201729751338198
right_shoulder_z,100,150,50,-0.0938335919380188,0.10835242709175555
left_shoulder_z,70,125,55,-0.09387420415878296,0.1224056445093432
left_knee_z,90,120,30,-0.09387684822082519,0.12098090262315948
left_hip_z,170,215,45,-0.09387812149403249,0.12456652423298398
right_ankle_z,160,195,35,-0.0938852858543396,0.12070097454261354
right_knee_z,90,105,15,-0.09391058683395385,0.11516930184024056
right_wrist_z,170,215,45,-0.09393701250709974,0.1260807474191891
right_elbow_z,170,205,35,-0.09393982887268067,0.1143272787518086
right_wrist_z,90,145,55,-0.09394270896911622,0.12810174556540482
right_shoulder_z,150,205,55,-0.09394912242889404,0.11589217056396033
left_hip_z,100,105,5,-0.09400341272354126,0.11350132362999307
left_wrist_z,100,130,30,-0.09405803442001343,0.11296843453326105
left_ankle_z,140,145,5,-0.0940837812423706,0.11168989629406212
left_wrist_z,100,135,35,-0.09408965587615967,0.11330699451024726
right_shoulder_z,160,185,25,-0.09410099029541015,0.11692697104087856
right_hip_z,130,155,25,-0.09410978555679321,0.12457816535776244
right_elbow_z,140,150,10,-0.09411040782928466,0.11912241883024188
left_knee_z,80,120,40,-0.09416566133499145,0.12311614826670211
left_knee_z,110,140,30,-0.0941699481010437,0.11414262026307724
right_hip_z,120,165,45,-0.09418093681335449,0.11105925639036242
right_ankle_z,60,80,20,-0.09419870615005493,0.11320605232122866
left_ankle_z,60,95,35,-0.09420023202896118,0.1074840486054369
left_hip_z,110,135,25,-0.09421680927276611,0.11453337496702211
right_shoulder_z,120,155,35,-0.09423205614089966,0.12972131209579366
left_hip_z,90,105,15,-0.09426652669906616,0.11116506228925305
left_knee_z,120,175,55,-0.09427017450332642,0.10548524531340629
right_knee_z,120,170,50,-0.09428032875061035,0.10572367053167107
right_knee_z,90,110,20,-0.09432059049606323,0.11844767342318571
right_ankle_z,110,155,45,-0.0943725848197937,0.12077957257791379
right_hip_z,70,90,20,-0.0943857741355896,0.1082488152854143
left_hip_z,120,175,55,-0.09439085006713867,0.107979707243277
left_hip_z,120,130,10,-0.09439663171768188,0.1181711730011802
right_wrist_z,60,70,10,-0.09441406726837158,0.10639853785807596
left_shoulder_z,120,140,20,-0.09447898626327515,0.1345728291099456
left_elbow_z,70,85,15,-0.09452382802963256,0.11128602403423406
left_wrist_z,60,80,20,-0.09456737041473388,0.11550751335879986
left_ankle_z,110,140,30,-0.09459788084030152,0.11571554336857529
right_hip_z,120,170,50,-0.09464464187622071,0.10460584151590344
left_shoulder_z,150,195,45,-0.09466549634933472,0.11922882698566872
right_hip_z,110,140,30,-0.09467593908309936,0.11385385283050085
left_shoulder_z,130,180,50,-0.09473692655563354,0.1179676863906778
left_knee_z,120,165,45,-0.09474294662475585,0.10658483113212057
right_hip_z,60,70,10,-0.09477905035018921,0.10870081178773121
left_shoulder_z,120,160,40,-0.09478056907653809,0.12962307023381267
left_shoulder_z,110,140,30,-0.09479807376861572,0.10968721977844978
left_elbow_z,150,180,30,-0.09480525493621826,0.15126971415506257
right_ankle_z,100,150,50,-0.09481397151947021,0.12283965311924863
left_knee_z,100,120,20,-0.09485269784927368,0.11743577261275481
right_hip_z,80,90,10,-0.09485779285430908,0.11168488666457815
left_hip_z,120,165,45,-0.09488826751708984,0.11088415605842006
right_shoulder_z,160,210,50,-0.09490137338638306,0.14147176440718973
left_wrist_z,160,180,20,-0.0949045753479004,0.15913722382412607
left_ankle_z,60,80,20,-0.09490904808044434,0.11784105086183853
right_knee_z,120,140,20,-0.09493566513061523,0.12369111734083513
right_shoulder_z,90,110,20,-0.09494253158569337,0.1083176044913428
left_shoulder_z,130,185,55,-0.09496192693710327,0.11541961522980504
left_ankle_z,120,175,55,-0.09496299505233764,0.1074106381852983
left_knee_z,120,170,50,-0.0949841332435608,0.103122919267969
left_hip_z,90,115,25,-0.09507458209991455,0.11109602978740375
left_shoulder_z,130,150,20,-0.09507820844650268,0.12031521631417393
right_ankle_z,70,95,25,-0.09509830713272095,0.1158389165696779
right_ankle_z,100,125,25,-0.09511005163192748,0.11693118411457998
right_elbow_z,130,175,45,-0.09511738538742065,0.11840600089704971
left_elbow_z,130,175,45,-0.09513651132583618,0.12091664239002566
left_wrist_z,160,205,45,-0.09516489028930664,0.12825222598516295
right_ankle_z,120,160,40,-0.09516931772232055,0.1174628673950261
left_hip_z,130,155,25,-0.09519179344177246,0.12440192702492288
right_ankle_z,170,200,30,-0.09524709224700928,0.114543359834673
left_elbow_z,90,135,45,-0.09530873775482178,0.12090867142736693
right_shoulder_z,90,115,25,-0.09531218767166137,0.11097595620903034
right_knee_z,60,95,35,-0.09532626628875733,0.11044571149960133
left_shoulder_z,110,135,25,-0.09533209562301635,0.10874206508323882
left_elbow_z,160,185,25,-0.09533937692642212,0.1487573338948488
right_ankle_z,130,150,20,-0.09534515142440796,0.12279834262470472
left_shoulder_z,150,170,20,-0.09536716222763061,0.10804947893125331
right_ankle_z,60,75,15,-0.09537643432617188,0.11072721708889176
left_ankle_z,70,75,5,-0.09540002584457398,0.1071584851514937
left_shoulder_z,80,85,5,-0.09547429084777832,0.1123197795042696
left_wrist_z,60,90,30,-0.09549240350723266,0.11180005900382498
left_elbow_z,70,75,5,-0.0955138897895813,0.1135618990795118
left_wrist_z,130,135,5,-0.09554335832595826,0.11632908695583577
right_wrist_z,90,115,25,-0.09555547952651977,0.11604476548465642
left_knee_z,150,205,55,-0.09557424545288086,0.11239715160694773
left_shoulder_z,90,145,55,-0.09558427572250366,0.12247256012431526
right_elbow_z,120,140,20,-0.0956050205230713,0.12652914966712572
left_elbow_z,90,95,5,-0.09561347007751465,0.115496957628167
left_shoulder_z,100,145,45,-0.09564843416213989,0.11277012751190837
right_shoulder_z,100,105,5,-0.09565953969955444,0.11741373093727869
right_shoulder_z,110,150,40,-0.09567761182785034,0.1039969702250025
right_shoulder_z,110,155,45,-0.09569839000701905,0.10925987217611331
left_ankle_z,70,125,55,-0.09571463823318481,0.11891116632910717
right_shoulder_z,110,145,35,-0.09571632623672485,0.10615597609646228
right_wrist_z,100,110,10,-0.0957250189781189,0.1203632075354538
right_shoulder_z,100,125,25,-0.09575877189636231,0.12252386672856215
right_knee_z,120,175,55,-0.09576062679290771,0.10798715713698583
left_hip_z,130,180,50,-0.09576924562454224,0.11952952428508401
right_elbow_z,100,140,40,-0.0957731556892395,0.12030881850984573
left_wrist_z,160,185,25,-0.09578203916549682,0.16127408745411212
