feature,importance_mean,importance_std,target,player_id,rank
phase_follow_right_wrist_vel_max,0.31352956127375364,0.035014050860559684,depth,4,11
phase_follow_right_knee_z_mean,0.2975857762619853,0.03793488676680115,depth,4,12
lr_elbow_deviation_f153,0.2909755019471049,0.028904037114294793,depth,4,13
lr_f237_right_elbow_z,0.2764279780909419,0.0321553742471172,depth,4,14
depth_f102_right_shoulder_y,0.26790171694010495,0.03281737259682892,depth,4,15
phase_follow_mid_hip_z_mean,0.2598895771428943,0.03796340505738313,depth,4,16
angle_f153_right_knee_angle,0.2302904872223735,0.025037936385708386,depth,4,17
right_wrist_vel_mean,0.22750304769724608,0.01569780946310326,depth,4,18
phase_follow_right_elbow_vel_mean,0.22096977811306714,0.027391839568444702,depth,4,19
depth_f102_left_first_finger_mcp_vel_mag,0.21906056832522153,0.0224013688995332,depth,4,20
hip_vertical_velocity_max,1.6304393593221902,0.11984230179240976,depth,5,1
depth_f102_right_shoulder_vel_mag,1.5017841521650552,0.14650094102159975,depth,5,2
phase_propulsion_right_wrist_z_range,1.402011663094163,0.16659836553594196,depth,5,3
phase_propulsion_mid_hip_vel_max,1.2648976866155863,0.1543913977679279,depth,5,4
phase_load_mid_hip_vel_max,1.2038568500429392,0.1660917869937863,depth,5,5
depth_f102_left_thumb_y,1.0299040857702493,0.08717583971663811,depth,5,6
depth_f102_left_first_finger_mcp_y,1.0299040023237467,0.0871758493806014,depth,5,7
lr_elbow_deviation_f153,0.9841688279062509,0.05330689236327892,depth,5,8
knee_bend_depth,0.9006384972482919,0.10686076747578406,depth,5,9
phase_load_right_wrist_vel_max,0.8828524295240641,0.11145028038600503,depth,5,10
angle_f153_right_small_toe_z,0.8604199770838022,0.12645021674050763,depth,5,11
lr_f237_right_elbow_z,0.7480018083006144,0.08082760798050348,depth,5,12
depth_f102_left_third_finger_pip_y,0.6690294269472361,0.06571649870464094,depth,5,13
right_wrist_vel_min,0.6616830710321665,0.08514694155333638,depth,5,14
phase_load_right_elbow_vel_max,0.6143046263605356,0.07911121791096053,depth,5,15
angle_f153_right_hip_vz,0.6056822571903467,0.07276835781997357,depth,5,16
angle_f153_mid_hip_vz,0.6038633052259683,0.07237405814681022,depth,5,17
angle_f153_left_hip_vz,0.5912126693874598,0.07041487452466555,depth,5,18
set_position_stability,0.5542411062866449,0.04810819475354177,depth,5,19
depth_f102_left_second_finger_mcp_vel_mag,0.44984541870653627,0.050819603332417224,depth,5,20
phase_propulsion_mid_hip_vel_mean,1.0625400677323342,0.1003025488216591,left_right,1,1
phase_setup_right_elbow_vel_max,0.8998012915253639,0.06594895738264012,left_right,1,2
lr_f237_left_ankle_y,0.8691356018185615,0.11965100640051543,left_right,1,3
phase_propulsion_right_wrist_vel_max,0.8076015129685402,0.061960264793563,left_right,1,4
angle_window_left_ankle_z_std,0.7803287461400032,0.0392195293817628,left_right,1,5
phase_propulsion_right_elbow_vel_max,0.7236381843686104,0.11756836030238985,left_right,1,6
elbow_alignment,0.7215865567326546,0.05385472527714055,left_right,1,7
angle_f153_left_knee_vz,0.6422030463814735,0.0680051549332133,left_right,1,8
phase_setup_right_wrist_z_range,0.5745106145739556,0.055451723544798326,left_right,1,9
angle_f153_right_big_toe_vz,0.5464490756392479,0.07495708842112773,left_right,1,10
shoulder_rotation,0.5005903825163841,0.06141613532412445,left_right,1,11
lateral_offset,0.43553624898195265,0.08669910504530923,left_right,1,12
phase_setup_right_wrist_z_mean,0.39816149026155473,0.05957328155047956,left_right,1,13
hip_lateral_range,0.392126752436161,0.04796514479219732,left_right,1,14
phase_setup_right_knee_z_mean,0.3810271039605141,0.0351851177651128,left_right,1,15
left_wrist_z_range,0.3769272223114967,0.046192925513427935,left_right,1,16
lr_f237_right_elbow_x,0.3653320237994194,0.044544598299425836,left_right,1,17
wrist_y_release,0.3648415431380272,0.03626660887433074,left_right,1,18
neck_z_range,0.3146568849682808,0.03439688674093112,left_right,1,19
neck_z_min,0.3116884157061577,0.037542525420168095,left_right,1,20
neck_z_q75,3.403474539145827,0.5161878504103597,left_right,2,1
lr_elbow_deviation_f153,0.977907919511199,0.14626054455949722,left_right,2,2
right_elbow_vel_max_time,0.5823806758970023,0.04792703112761246,left_right,2,3
lr_hip_x_setup,0.5644895698875189,0.07628173324102347,left_right,2,4
phase_setup_mid_hip_vel_max,0.49889475367963315,0.10122968763971056,left_right,2,5
angle_f153_right_small_toe_vz,0.47663328908383845,0.04435538987756151,left_right,2,6
right_knee_vel_max_time,0.45925496481359007,0.0513273512085551,left_right,2,7
left_wrist_z_mean,0.4154705937951803,0.060432363771198525,left_right,2,8
lateral_offset,0.3868413414806128,0.04610552820872296,left_right,2,9
lr_f237_right_elbow_z,0.3803599026054144,0.03026464758656902,left_right,2,10
angle_f153_left_knee_z,0.37239716909825804,0.05542124645135572,left_right,2,11
neck_z_std,0.362170534953475,0.046539688844954845,left_right,2,12
right_shoulder_z_mean,0.35270560942590234,0.029040209598398092,left_right,2,13
angle_window_left_knee_z_mean,0.3425669874995947,0.05174686919791108,left_right,2,14
wrist_jerk_mean,0.3344467248767614,0.0225629339474859,left_right,2,15
phase_setup_right_elbow_vel_max,0.32718998454511167,0.03809209637859282,left_right,2,16
right_wrist_vel_release_mean,0.3057580407708883,0.03005505091307447,left_right,2,17
phase_follow_right_wrist_vel_mean,0.30381737016141414,0.029844176604605435,left_right,2,18
left_wrist_z_energy,0.2842151191085577,0.03627591468291004,left_right,2,19
phase_setup_right_elbow_z_range,0.28295162729918955,0.02978353869310812,left_right,2,20
lr_f237_right_elbow_z,1.1667390627786518,0.06259347639069016,left_right,3,1
left_wrist_z_q25,0.7179671389982104,0.04027597765354486,left_right,3,2
right_elbow_z_q25,0.6151239974424243,0.05211509437251314,left_right,3,3
angle_f153_right_big_toe_vz,0.5385526699945331,0.08513640281854733,left_right,3,4
jerk_at_release,0.5375377846881747,0.082314817409044,left_right,3,5
phase_setup_right_elbow_vel_max,0.4968570007011294,0.061162800944910854,left_right,3,6
hip_lateral_range,0.47931127678602936,0.07323385555475374,left_right,3,7
neck_z_max,0.3544335199519992,0.046807283089170273,left_right,3,8
depth_window_right_wrist_y_std,0.3139137102290988,0.03873405558339217,left_right,3,9
angle_f153_right_big_toe_y,0.2883637798950076,0.0230068278351475,left_right,3,10
phase_setup_right_knee_z_mean,0.26482013147324324,0.04438972065077983,left_right,3,11
right_shoulder_z_q75,0.24586164187639953,0.022033502894577322,left_right,3,12
left_wrist_z_max,0.2400036348029971,0.0198567469475589,left_right,3,13
lr_hip_x_setup,0.2351106910035014,0.02805182751595298,left_right,3,14
phase_load_mid_hip_z_mean,0.22915607076138259,0.031338872000737004,left_right,3,15
phase_setup_right_elbow_z_mean,0.2254211289808154,0.019325232052509925,left_right,3,16
depth_window_left_wrist_y_std,0.22120843809098006,0.028170073193317522,left_right,3,17
right_knee_z_q25,0.21119890343397857,0.029328645565888687,left_right,3,18
neck_z_q25,0.20645250510424376,0.022155080614882545,left_right,3,19
release_vy,0.20376173537224532,0.022674941891272754,left_right,3,20
phase_propulsion_right_elbow_vel_max,0.9071591582149268,0.07764658568718452,left_right,4,1
depth_f102_right_shoulder_vel_mag,0.7778375532478095,0.11580900669926514,left_right,4,2
release_vy,0.7055393543094397,0.07039563890284627,left_right,4,3
left_wrist_z_q25,0.5828587856143713,0.0701814280777461,left_right,4,4
left_wrist_z_std,0.5535095747560262,0.07672626171317429,left_right,4,5
angle_f153_right_heel_vz,0.5476220514625311,0.06682187763324936,left_right,4,6
wrist_vy_release,0.4663393791764975,0.04208188292412783,left_right,4,7
right_wrist_vel_mean,0.45402206145226953,0.030681519544890085,left_right,4,8
wrist_snap_angle,0.44380728863179686,0.05597393743779899,left_right,4,9
angle_f153_left_big_toe_z,0.43750406466424463,0.06124747819233428,left_right,4,10
wrist_vel_smoothness,0.4292609836906195,0.041185600825467426,left_right,4,11
right_wrist_vel_std,0.4192701276391745,0.03971301094537557,left_right,4,12
phase_propulsion_right_wrist_vel_mean,0.41085003279149535,0.0370170357358719,left_right,4,13
right_wrist_vel_prop_mean,0.41054017208516597,0.03699283574587965,left_right,4,14
depth_window_left_wrist_y_std,0.4023392405360937,0.034888234870278735,left_right,4,15
trajectory_straightness,0.3992750760167837,0.047670459843792486,left_right,4,16
right_hip_z_std,0.37930608056485654,0.03624368189130228,left_right,4,17
phase_setup_right_wrist_z_mean,0.36670852564275264,0.05884427046501001,left_right,4,18
lr_elbow_deviation_f153,0.3513631161302328,0.03815795756974298,left_right,4,19
phase_load_right_wrist_vel_max,0.3479095306247473,0.043172058321667484,left_right,4,20
lr_elbow_deviation_mean,0.6354613164439797,0.06171751868923413,left_right,5,1
phase_setup_right_knee_z_range,0.6037882724776864,0.05603428678480222,left_right,5,2
depth_f102_left_second_finger_mcp_vel_mag,0.6024206796661019,0.05401624446355272,left_right,5,3
lr_f237_left_ankle_z,0.6001441041007638,0.08246898518254143,left_right,5,4
release_vy,0.5902979889884591,0.0442414892466987,left_right,5,5
lr_f237_right_elbow_x,0.5401513764634729,0.04113914337939643,left_right,5,6
forward_position,0.49249343369156123,0.055039015896779626,left_right,5,7
set_point_height,0.44922162089496853,0.036476881589028336,left_right,5,8
release_wrist_y,0.4287902245298028,0.06334665058700772,left_right,5,9
phase_propulsion_right_knee_vel_max,0.4284668007865548,0.05153609132362196,left_right,5,10
right_elbow_z_q25,0.4022136041894555,0.032708573296188814,left_right,5,11
right_wrist_z_max,0.3857861110940576,0.05597881629475981,left_right,5,12
depth_f102_left_second_finger_pip_y,0.384424520470202,0.031133829070734347,left_right,5,13
angle_window_left_ankle_z_std,0.37430026326328514,0.041735872010043945,left_right,5,14
phase_setup_mid_hip_z_mean,0.3535905698314309,0.0442151954053288,left_right,5,15
depth_window_left_wrist_y_std,0.34781539235264064,0.04712993563100352,left_right,5,16
shoulder_rotation,0.34487438295036554,0.047402190109388245,left_right,5,17
phase_load_right_wrist_vel_max,0.3177793571725488,0.038739125869361644,left_right,5,18
right_elbow_z_max,0.3151364767923951,0.041538142883996744,left_right,5,19
lr_f237_right_hip_x,0.28818861190229655,0.03588067809896574,left_right,5,20
