target,participant_id,feature,delta_mse_mean,delta_mse_std,baseline_mse_mean
depth,1,right_hip_z_std,0.0,0.0,0.006976055359739115
depth,1,right_knee_vel_load_mean,0.0,0.0,0.006976055359739115
depth,1,right_knee_vel_max,0.0,0.0,0.006976055359739115
depth,1,right_knee_vel_max_time,0.0019545775893130704,0.0011354088282221253,0.006976055359739115
depth,1,right_knee_vel_mean,-9.350802556001314e-05,0.0001884360846849995,0.006976055359739115
depth,1,right_knee_vel_min,-9.010718372232176e-05,0.00018021436744464353,0.006976055359739115
depth,1,right_knee_vel_prep_mean,0.0,0.0,0.006976055359739115
depth,1,right_knee_vel_prop_mean,0.0,0.0,0.006976055359739115
depth,1,right_knee_vel_range,0.0,0.0,0.006976055359739115
depth,1,right_knee_vel_release_mean,3.7515951930147205e-05,0.00013217650858917069,0.006976055359739115
depth,1,right_knee_vel_std,0.0,0.0,0.006976055359739115
depth,1,right_knee_z_energy,0.0,0.0,0.006976055359739115
depth,1,right_knee_z_max,2.7521542494838083e-07,5.504308498967617e-07,0.006976055359739115
depth,1,right_knee_z_mean,0.0,0.0,0.006976055359739115
depth,1,right_knee_z_min,-1.0314672068048477e-05,2.0629344136096954e-05,0.006976055359739115
depth,1,right_knee_z_q25,-1.0968755889042882e-05,1.571958138909443e-05,0.006976055359739115
depth,1,right_knee_z_q75,0.0,0.0,0.006976055359739115
depth,1,right_knee_z_range,0.0,0.0,0.006976055359739115
depth,1,right_knee_z_std,0.0,0.0,0.006976055359739115
depth,1,right_shoulder_z_energy,0.0,0.0,0.006976055359739115
depth,1,right_shoulder_z_max,-4.84555244371516e-06,8.703265956019663e-06,0.006976055359739115
depth,1,right_shoulder_z_mean,0.0,0.0,0.006976055359739115
depth,1,right_shoulder_z_min,0.0,0.0,0.006976055359739115
depth,1,right_shoulder_z_q25,0.0,0.0,0.006976055359739115
depth,1,right_shoulder_z_q75,3.937434918066414e-07,7.874869836132828e-07,0.006976055359739115
depth,1,right_shoulder_z_range,0.0,0.0,0.006976055359739115
depth,1,right_shoulder_z_std,0.0,0.0,0.006976055359739115
depth,1,right_wrist_vel_load_mean,0.000830325185187945,0.0006122821511879056,0.006976055359739115
depth,1,right_wrist_vel_max,5.395085261309061e-07,1.0790170522618121e-06,0.006976055359739115
depth,1,right_wrist_vel_max_time,1.6725759534070031e-06,1.9902861989685444e-05,0.006976055359739115
depth,1,right_wrist_vel_mean,0.0,0.0,0.006976055359739115
depth,1,right_wrist_vel_min,0.0,0.0,0.006976055359739115
depth,1,right_wrist_vel_prep_mean,0.0003797260075526175,0.00033091657736362284,0.006976055359739115
depth,1,right_wrist_vel_prop_mean,2.196682660932786e-06,4.393365321865572e-06,0.006976055359739115
depth,1,right_wrist_vel_range,-6.398954478713711e-07,1.2797908957427421e-06,0.006976055359739115
depth,1,right_wrist_vel_release_mean,0.0,0.0,0.006976055359739115
depth,1,right_wrist_vel_std,0.0,0.0,0.006976055359739115
depth,1,right_wrist_z_energy,0.0,0.0,0.006976055359739115
depth,1,right_wrist_z_max,0.0006170069583147721,0.00029556085130512014,0.006976055359739115
depth,1,right_wrist_z_mean,0.0,0.0,0.006976055359739115
depth,1,right_wrist_z_min,0.0,0.0,0.006976055359739115
depth,1,right_wrist_z_q25,0.0,0.0,0.006976055359739115
depth,1,right_wrist_z_q75,8.462363282030497e-07,7.778588567617072e-06,0.006976055359739115
depth,1,right_wrist_z_range,0.0,0.0,0.006976055359739115
depth,1,right_wrist_z_std,8.477177158814029e-06,1.0849672321629334e-05,0.006976055359739115
depth,1,set_point_height,8.497215531513027e-06,1.6994431063026054e-05,0.006976055359739115
depth,1,set_position_stability,0.0011323130039158872,0.0008993875996269652,0.006976055359739115
depth,1,shoulder_elevation_rate,-7.805477184216237e-07,1.2013636784799824e-05,0.006976055359739115
depth,1,shoulder_rotation,0.0,0.0,0.006976055359739115
depth,1,time_to_peak_velocity,4.907712366813716e-06,7.748397795063514e-06,0.006976055359739115
depth,1,velocity_magnitude_release,-1.277753698329884e-05,2.574632331199954e-05,0.006976055359739115
depth,1,wrist_snap_angle,0.0,0.0,0.006976055359739115
depth,1,wrist_vx_release,-6.698528946363336e-06,5.655526289456482e-05,0.006976055359739115
depth,1,wrist_vy_release,-1.2149995821961538e-05,2.4299991643923076e-05,0.006976055359739115
depth,1,wrist_vz_release,-2.7670148282905985e-05,4.417700070166404e-05,0.006976055359739115
