feature_idx,feature_name,feature_type,target,beta,intercept,se_beta,t_stat,p_value,ci_lower,ci_upper,r_squared,pearson_r,std_X,std_Y,beta_standardized,n_samples
52,left_big_toe_y,raw_std,angle,-3.726976379699592,45.919514653671726,1.0030965951702306,-3.715471069929317,0.00023672571796408453,-5.693045706233244,-1.7609070531659399,0.0386898611305613,-0.19669738465612932,0.25706357,4.870781,-0.19669738197393982,345
52,left_big_toe_y,raw_std,depth,1.0213687259290658,9.539426035768404,1.133071120944236,0.9014162545047625,0.36799954843205396,-1.1994506711216364,3.242188122979768,0.0023633554414996907,0.048614354274223275,0.25706357,5.400806,0.04861435207166031,345
52,left_big_toe_y,raw_std,left_right,0.4635262953880685,-0.8364729938164805,0.797971812956239,0.5808805372095123,0.5617024390555689,-1.1004984580061599,2.0275510487822967,0.0009827713983176665,0.03134918497054854,0.25706357,3.8009193,0.03134918492222894,345
53,left_big_toe_z,raw_mean,angle,-107.7287824722785,91.7274780425192,12.307596246018628,-8.75303189338272,9.586779753461016e-17,-131.851671114475,-83.60589383008198,0.18258514052446326,-0.42729982509294717,0.019319665,4.870781,-0.42729985023420275,345
53,left_big_toe_z,raw_mean,depth,-21.44802529345851,18.865479371849517,15.049772784618705,-1.4251394755526807,0.15502618712436272,-50.945579951311174,8.04952936439415,0.005886492495418182,-0.0767234807305963,0.019319665,5.400806,-0.07672348651048636,345
53,left_big_toe_z,raw_mean,left_right,12.881476419076087,-6.3117893502220825,10.600079758736436,1.2152244805950025,0.22511630214559872,-7.89467990804733,33.6576327461995,0.004286996002458952,0.06547515561233094,0.019319665,3.8009193,0.06547516270894524,345
53,left_big_toe_z,raw_std,angle,-50.40168327198704,46.75314023574759,11.519748665350011,-4.375241573072606,1.6116725123054815e-05,-72.98039065607307,-27.822975887901016,0.052859651100481145,-0.22991226826874886,0.02221855,4.870781,-0.2299122618806413,345
53,left_big_toe_z,raw_std,depth,-3.4277106040987224,9.745058860417508,13.123589285351546,-0.26118697633464555,0.7941050744197933,-29.14994560338775,22.294524395190308,0.0001988486047408983,-0.01410136889599369,0.02221855,5.400806,-0.014101368821408498,345
53,left_big_toe_z,raw_std,left_right,12.414702708733426,-1.0949055153216212,9.212537348463485,1.3475877751316812,0.17868043958622434,-5.641870494255006,30.471275911721857,0.005266556219960858,0.07257104257181964,0.02221855,3.8009193,0.07257104846735833,345
54,left_small_toe_x,raw_mean,angle,3.613736940864818,-25.34534262349436,0.699626505952432,5.165237323227599,4.08084420677626e-07,2.242468989198051,4.985004892531585,0.07216971419760096,0.2686442148969543,0.3620925,4.870781,0.26864418376060145,345
54,left_small_toe_x,raw_mean,depth,0.26310847067870885,4.501813719741247,0.8052382243749596,0.3267461264434365,0.744059203927073,-1.315158449096212,1.8413753904536296,0.00031116562728930727,0.017639887394462223,0.3620925,5.400806,0.017639886737089022,345
54,left_small_toe_x,raw_mean,left_right,-0.2843884801986244,4.791710135443951,0.5665817855517539,-0.5019372091562714,0.6160337335951854,-1.3948887798800618,0.8261118194828131,0.000733982628705733,-0.027092113773305563,0.3620925,3.8009193,-0.027092112071581832,345
54,left_small_toe_x,raw_std,angle,-2.001821264268598,46.139475751321385,0.415072718208005,-4.822820620230278,2.1319744682636867e-06,-2.8153637919562877,-1.1882787365809084,0.0635057724500828,-0.2520035167414987,0.61316854,4.870781,-0.25200349535553723,345
54,left_small_toe_x,raw_std,depth,1.0884152172973478,9.302411379224697,0.4719437685873098,2.3062391957316213,0.02169296234958885,0.1634054308662206,2.013425003728475,0.015269747587276438,0.12357082012868749,0.61316854,5.400806,0.12357080715657266,345
54,left_small_toe_x,raw_std,left_right,0.29342564638825674,-0.8783850051228379,0.33432942526456483,0.8776542661659538,0.3807456975508408,-0.3618600271302903,0.9487113199068038,0.0022406736778317585,0.04733575475084092,0.61316854,3.8009193,0.04733575346431195,345
55,left_small_toe_y,raw_mean,angle,-0.42087332150708645,34.52545673853041,0.9290267651946162,-0.4530260454002315,0.6508164217005658,-2.2417657812885343,1.4000191382743612,0.000597987962647052,-0.024453792398052537,0.28300452,4.870781,-0.024453790466048123,345
